letter	frequency
1	0.006978
2	0.165350
3	0.258899
4	0.172873
5	0.125628
6	0.106753
7	0.064200
8	0.032226
9	0.020643
10	0.012583
11	0.008864
12	0.007460
13	0.007523
14	0.007011
15	0.003011
16	0.198859
17	0.133632
18	0.359334
19	0.153756
20	0.073527
21	0.038347
22	0.017794
23	0.007757
24	0.004546
25	0.004292
26	0.003903
27	0.002526
28	0.001403
29	0.000324
30	0.000000
31	0.002619
32	0.207478
33	0.131741
34	0.337089
35	0.168047
36	0.082127
37	0.043238
38	0.019182
39	0.006394
40	0.001788
41	0.000277
42	0.000019
43	0.000000
44	0.000000
45	0.000000
